,pl_name,hostname,pl_bmasse,pl_orbper,pl_orbsmax,st_mass
573,eps Eri b,eps Eri,209.76674862,2671,3.53,0.82
574,HD 125612 d,HD 125612,2281.37230545,2822.72698,3.982,1.05
575,HD 125612 d,HD 125612,2313.8024,2835,4.06,1.11
576,HD 106270 b,HD 106270,3496,2890,4.3,1.32
577,HD 125612 d,HD 125612,2286,3008,4.2,1.091
578,GJ 832 b,GJ 832,203.4,3416,3.4,0.45
579,GJ 832 b,GJ 832,197.046,3507,3.46,0.437474
580,GJ 832 b,GJ 832,254.2627256,3610,3.53,0.45
581,GJ 832 b,GJ 832,216,3657,3.56,0.45
582,GJ 832 b,GJ 832,314.65012293,3853,3.7,0.45
583,HAT-P-17 c,HAT-P-17,915.3504,3972,4.67,0.857
584,55 Cnc d,55 Cnc,1243.35096,4517.4,5.257,0.95
585,55 Cnc d,55 Cnc,908.98924402,4820,5.54,0.974708
586,55 Cnc d,55 Cnc,1232.493,4825,5.503,0.95
587,55 Cnc d,55 Cnc,1226.77,4867,5.446,0.9
588,55 Cnc d,55 Cnc,1121.89,4909,5.47,0.9
589,55 Cnc d,55 Cnc,1218.827,5218,5.77,0.9
590,55 Cnc d,55 Cnc,1287.2115,5360,5.9,0.95
591,55 Cnc d,55 Cnc,1220.42,5370,5.84,0.9
592,55 Cnc d,55 Cnc,991.6,5574.2,5.957,0.905
593,HAT-P-17 c,HAT-P-17,1080.6,5584,5.6,0.92
594,bet Pic b,bet Pic,2542.533,6000,8,1.95
595,bet Pic b,bet Pic,3146.517,7800,9,1.75
596,bet Pic b,bet Pic,3727.8093857,8617.50952,10.018,1.795
597,DP Leo b,DP Leo,1922.79,10220,8.19,0.69
598,47 UMa d,47 UMa,521.22,14002,11.6,1.06
599,47 UMa d,47 UMa,479.92089457,19000,13.8,1.005192
